#,Metric / Event,Primary Source,Exact Figure,2015 → Year Change,Confidence,Notes,year,foreign_country,Year,Country,DateLabel,Event
1,Total R&D Spending,METI Survey of R&D 2015 (PDF p.12-15),¥19.74T (AI strategic ¥174B),Baseline,High,NEDO SAMURAI baseline funding,2015,China,,,,
2,JP-CN AI patents,WIPO PATENTSCOPE (JP/CN G06N 2015),~150 families,Baseline,High,Co-applicant counts; no surges,2015,China,,,,
3,IT talent gap,METI IT Human Resources White Paper 2015,~50K (AI subset ~5K),Baseline,High,Annual survey; domestic focus,2015,China,,,,
4,China FDI in Tech,JETRO FDI Statistics 2015,¥0.1T total (AI ~¥5B),Baseline,High,Hardware lead; Foxconn precursors,2015,China,,,,
5,UFWD/Diet activity,House of Reps. Minutes Vol.12 (Nov 2015),Routine bilateral,Baseline,High,No influence flags,2015,China,,,,
6,Stress Events,Government & IMF reports,Debt peak 250% GDP,Baseline,High,Quiet year; no rescue alignments,2015,China,,,,
7,Society 5.0 launch,Cabinet Office blueprint,Initial concept,Baseline,High,Early AI buzz; no China vector,2015,China,,,,
8,Manufacturing share of R&D,METI tables,~70%,Baseline,High,Info services lead services,2015,China,,,,
9,Foreign FDI influence,JETRO analysis,<5%,Baseline,High,Pre-AIIB flows,2015,China,,,,
10,Diet mentions of China AI,National Diet Library,8 mentions,Baseline,High,Low policy chatter,2015,China,,,,
1,Total national R&D spend,METI Survey of R&D 2015 p.12,¥19.74 trillion,Baseline,High,Baseline flat,2015,Russia,,,,
2,Gov’t AI-specific budget (NEDO + MEXT),METI White Paper on Manufacturing 2015,¥174 billion,Baseline,High,Early SAMURAI project,2015,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE (JP+RU co-applicants 2015),12 families,Baseline,High,Negligible; energy focus,2015,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2015 Table 4-2,¥0.02 trillion,Baseline,High,Minimal; gas/oil dominant,2015,Russia,,,,
5,Russian nationals hired in Japanese IT,MIC Basic Survey on Wage Structure 2015,456,Baseline,High,Low baseline,2015,Russia,,,,
6,Rosatom/Toshiba nuclear tech collab (AI precursor),Toshiba FY2015 disclosures + Rosatom MoU archive,1 MoU (simulation tech),Baseline,High,Non-AI but tech vector,2015,Russia,,,,
7,Gazprom-Japan LNG AI optimization talks,Gazprom Annual Report 2015 + JETRO bilateral,Preliminary discussions,Baseline,High,Early data analytics,2015,Russia,,,,
8,Yandex Japan office staff,Yandex Japan METI filing 2015,15 staff,Baseline,High,First footprint (search AI),2015,Russia,,,,
9,Japan-Russia AI MoUs / joint labs,METI bilateral agreement archive 2015,0 new,Baseline,High,None; energy priority,2015,Russia,,,,
10,"Diet mentions ""Russia AI cooperation"" OR ""Russia AI risk""",National Diet Library full-text search 2015,5 mentions (all cooperation),Baseline,High,Territories talks only,2015,Russia,,,,
,,,,,,,2015,Russia,,,,
Key Takeaways 2015 Baseline,,,,,,,2015,Russia,,,,
Low activity: Patents/FDI/hires negligible—energy (Gazprom/Rosatom) dominates. No surge signals.,,,,,,,2015,Russia,,,,
No expansion triggers (China/Saudi/Iran <3 hits). Russian vector quiet pre-sanctions.,,,,,,,2015,Russia,,,,
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,2015:
